ROWNUM;Name;Longitude_WGS84;Latitude_WGS84;NameOfStation;Line;ModeOnEvenDays;ModeOnOddDays;FullFeaturedBPAAmount;LittleFunctionalBPAAmount;BPAAmount;RepairOfEscalators;GLOBALID;
1;"Молодёжная, вход в восточный вестибюль";"37.41813456";"55.74023103";"Молодёжная";"Арбатско-Покровская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:30, по 2 пути в 05:51:55; последний поезд по 1 пути в 01:45:00, по 2 пути в 01:24:00";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:55, по 2 пути в 05:42:15; последний поезд по 1 пути в 01:45:00, по 2 пути в 01:24:00";"";"5";"5";"";"85312074";
2;"Молодёжная, вход в западный вестибюль";"37.41562744";"55.74143284";"Молодёжная";"Арбатско-Покровская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:30, по 2 пути в 05:51:55; последний поезд по 1 пути в 01:45:00, по 2 пути в 01:24:00";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:55, по 2 пути в 05:42:15; последний поезд по 1 пути в 01:45:00, по 2 пути в 01:24:00";"";"6";"6";"";"85312073";
3;"Мякинино, вход в вестибюль";"37.38508791";"55.82347788";"Мякинино";"Арбатско-Покровская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:04:30, по 2 пути в 05:45:00; последний поезд по 1 пути в 01:59:05, по 2 пути в 01:10:25";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:07:00, по 2 пути в 05:45:00; последний поезд по 1 пути в 01:59:05, по 2 пути в 01:10:25";"";"4";"4";"";"85312075";
4;"Нагатинская, вход в северный вестибюль";"37.62270092";"55.68424097";"Нагатинская";"Серпуховско-Тимирязевская линия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:39:25, по 2 пути в 06:00:10; последний поезд по 1 пути в 01:22:40, по 2 пути в 01:41:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:39:25, по 2 пути в 06:00:10; последний поезд по 1 пути в 01:22:40, по 2 пути в 01:41:25";"";"4";"4";"";"85312079";
5;"Нагатинская, вход 1 в южный вестибюль";"37.62157133";"55.68224267";"Нагатинская";"Серпуховско-Тимирязевская линия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:39:25, по 2 пути в 06:00:10; последний поезд по 1 пути в 01:22:40, по 2 пути в 01:41:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:39:25, по 2 пути в 06:00:10; последний поезд по 1 пути в 01:22:40, по 2 пути в 01:41:25";"";"6";"6";"";"85312077";
6;"Нагатинская, вход 2 в южный вестибюль";"37.62143809";"55.68217592";"Нагатинская";"Серпуховско-Тимирязевская линия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:39:25, по 2 пути в 06:00:10; последний поезд по 1 пути в 01:22:40, по 2 пути в 01:41:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:39:25, по 2 пути в 06:00:10; последний поезд по 1 пути в 01:22:40, по 2 пути в 01:41:25";"";"6";"6";"";"85312078";
7;"Нагатинская, вход 3 в южный вестибюль";"37.62205501";"55.68195201";"Нагатинская";"Серпуховско-Тимирязевская линия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:39:25, по 2 пути в 06:00:10; последний поезд по 1 пути в 01:22:40, по 2 пути в 01:41:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:39:25, по 2 пути в 06:00:10; последний поезд по 1 пути в 01:22:40, по 2 пути в 01:41:25";"";"6";"6";"";"85312076";
8;"Нагорная, вход 1 в вестибюль";"37.61040011";"55.67302008";"Нагорная";"Серпуховско-Тимирязевская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:37:00, по 2 пути в 06:02:00; последний поезд по 1 пути в 01:20:00, по 2 пути в 01:43:00";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:37:00, по 2 пути в 06:02:00; последний поезд по 1 пути в 01:20:00, по 2 пути в 01:43:00";"";"4";"4";"";"85312080";
9;"Нагорная, вход 2 в вестибюль";"37.61107274";"55.67287389";"Нагорная";"Серпуховско-Тимирязевская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:37:00, по 2 пути в 06:02:00; последний поезд по 1 пути в 01:20:00, по 2 пути в 01:43:00";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:37:00, по 2 пути в 06:02:00; последний поезд по 1 пути в 01:20:00, по 2 пути в 01:43:00";"";"4";"4";"";"85312081";
10;"Нахимовский проспект, вход 1 в северный вестибюль";"37.6060611";"55.66386424";"Нахимовский проспект";"Серпуховско-Тимирязевская линия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:45, по 2 пути в 06:04:05; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:45:10";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:45, по 2 пути в 06:04:05; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:45:10";"";"4";"4";"";"85312086";
